time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T10:43:09.430Z,35.91,-117.7018333,4.67,0.07,ml,13,65,0.05634,0.26,ci,ci39116360,2019-10-07T10:46:43.232Z,"19km E of Little Lake, CA",earthquake,0.53,1.09,0.038,2,automatic,ci,ci
2019-10-07T10:39:36.470Z,35.667,-117.5363333,8.33,0.46,ml,9,128,0.0522,0.15,ci,ci39116352,2019-10-07T13:02:21.476Z,"14km ENE of Ridgecrest, CA",earthquake,0.5,1.13,0.218,5,reviewed,ci,ci
2019-10-07T10:34:46.770Z,35.6466667,-117.49,8.3,0.64,ml,13,88,0.04699,0.11,ci,ci39116344,2019-10-07T10:38:23.770Z,"16km SSW of Searles Valley, CA",earthquake,0.35,0.51,0.272,5,automatic,ci,ci
2019-10-07T10:32:10.539Z,59.3519,-152.5017,65,2.1,ml,,,,0.52,ak,ak019cv8me0m,2019-10-07T10:41:45.090Z,"60km SW of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-10-07T10:21:26.870Z,19.191,-155.4616699,33.37,1.84,md,46,150,0.06709,0.12,hv,hv71169561,2019-10-07T10:24:37.570Z,"2km SE of Pahala, Hawaii",earthquake,0.61,0.8,0.12,4,automatic,hv,hv
2019-10-07T10:20:57.650Z,35.8865,-117.7243333,2.93,0.94,ml,21,61,0.08446,0.18,ci,ci39116336,2019-10-07T10:24:34.777Z,"17km ESE of Little Lake, CA",earthquake,0.27,0.38,0.126,13,automatic,ci,ci
2019-10-07T10:16:36.970Z,38.8279991,-122.8040009,1.75,0.79,md,17,49,0.006606,0.01,nc,nc73287980,2019-10-07T10:36:03.887Z,"7km NW of The Geysers, CA",earthquake,0.26,0.38,0.09,3,automatic,nc,nc
2019-10-07T10:11:01.860Z,35.669,-117.5255,7.81,0.77,ml,17,105,0.0588,0.17,ci,ci39116328,2019-10-07T13:02:56.477Z,"15km ENE of Ridgecrest, CA",earthquake,0.35,0.76,0.082,8,reviewed,ci,ci
2019-10-07T10:09:39.456Z,61.3714,-150.098,33.7,1.3,ml,,,,0.47,ak,ak019cv8hit5,2019-10-07T10:14:27.574Z,"18km SSW of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-10-07T10:07:35.930Z,36.2155,-117.8543333,4.32,2.03,ml,26,68,0.09772,0.2,ci,ci39116320,2019-10-07T16:42:58.086Z,"15km ESE of Olancha, CA",earthquake,0.36,1,0.163,27,automatic,ci,ci
2019-10-07T10:07:11.210Z,38.7965012,-122.7381668,1.73,0.9,md,13,73,0.01749,0.03,nc,nc73287965,2019-10-07T10:24:02.175Z,"3km NE of The Geysers, CA",earthquake,0.31,0.64,0.14,4,automatic,nc,nc
2019-10-07T09:56:41.690Z,37.651001,-118.9486694,5.81,0.82,md,11,122,0.01659,0.02,nc,nc73287960,2019-10-07T12:05:03.563Z,"3km ENE of Mammoth Lakes, CA",earthquake,1.38,1.51,0.23,11,automatic,nc,nc
2019-10-07T09:50:06.310Z,35.6083333,-117.461,7.32,0.79,ml,12,69,0.02181,0.2,ci,ci39116312,2019-10-07T13:03:25.731Z,"18km SSW of Searles Valley, CA",earthquake,0.64,0.56,0.153,6,reviewed,ci,ci
2019-10-07T09:49:41.320Z,19.5,-64.6036,92,3.42,md,12,334,2.0514,0.33,pr,pr2019280016,2019-10-07T12:54:39.164Z,"119km N of Road Town, British Virgin Islands",earthquake,4.39,11.53,0.36,8,reviewed,pr,pr
2019-10-07T09:48:30.210Z,19.1639996,-155.4420013,34.33,2.3,md,36,204,0.08435,0.11,hv,hv71169511,2019-10-07T09:51:53.120Z,"6km SE of Pahala, Hawaii",earthquake,0.69,0.81,0.08,3,automatic,hv,hv
2019-10-07T09:46:17.370Z,32.0278333,-116.2128333,14.83,1.71,ml,17,99,0.2261,0.26,ci,ci39116304,2019-10-07T17:26:28.934Z,"42km ENE of Ensenada, B.C., MX",earthquake,0.52,1.29,0.087,16,reviewed,ci,ci
2019-10-07T09:45:38.570Z,57.0433,-157.7349,86.3,2.4,ml,,,,0.94,ak,ak019cv83sxn,2019-10-07T09:51:01.632Z,"108km NE of Chignik Lake, Alaska",earthquake,,3.6,,,automatic,ak,ak
2019-10-07T09:38:49.080Z,19.2043,-67.2446,42,2.76,md,7,300,0.7488,0.37,pr,pr2019280015,2019-10-07T11:57:05.746Z,"80km N of San Antonio, Puerto Rico",earthquake,2.37,10.44,0.28,6,reviewed,pr,pr
2019-10-07T09:38:14.580Z,37.6484985,-118.9499969,5.09,0.87,md,13,118,0.0193,0.02,nc,nc73287955,2019-10-07T11:40:03.273Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.8,1.03,0.28,12,automatic,nc,nc
2019-10-07T09:36:19.470Z,19.2126,-67.2786,29,2.49,md,6,301,0.8521,0.33,pr,pr2019280014,2019-10-07T11:56:36.489Z,"81km NNW of San Antonio, Puerto Rico",earthquake,2.19,20.67,0.31,4,reviewed,pr,pr
2019-10-07T09:32:06.450Z,35.6098333,-117.589,7.08,1.01,ml,23,49,0.02027,0.19,ci,ci39116296,2019-10-07T09:35:52.459Z,"8km E of Ridgecrest, CA",earthquake,0.29,0.64,0.306,13,automatic,ci,ci
2019-10-07T09:30:24.480Z,35.9056667,-117.694,1.92,1.32,ml,20,65,0.05504,0.17,ci,ci39116288,2019-10-07T09:34:07.572Z,"20km E of Little Lake, CA",earthquake,0.24,0.37,0.128,19,automatic,ci,ci
2019-10-07T09:28:40.560Z,36.52666667,-98.984,7.88,1.09,ml,21,138,0.04769064147,0.06,ok,ok2019tqma,2019-10-07T15:52:55.590Z,"22km ENE of Mooreland, Oklahoma",earthquake,,0.2,0.23,4,reviewed,ok,ok
2019-10-07T09:23:04.250Z,38.1466667,-85.0711667,13.24,2.41,md,12,67,0.1648,0.24,se,se60091123,2019-10-07T19:33:44.854Z,"15km ESE of Shelbyville, Kentucky",earthquake,0.77,1.04,0.083,10,reviewed,se,se
2019-10-07T09:20:19.720Z,33.3298333,-116.4018333,6.73,0.67,ml,24,70,0.06279,0.19,ci,ci39116272,2019-10-07T09:23:53.902Z,"9km NNW of Borrego Springs, CA",earthquake,0.31,0.74,0.179,15,automatic,ci,ci
2019-10-07T09:13:42.430Z,44.6286667,-111.0275,11.15,0.24,md,11,105,0.05713,0.15,uu,uu60344572,2019-10-07T13:29:14.070Z,"7km ESE of West Yellowstone, Montana",earthquake,0.52,1.33,0.409,7,reviewed,uu,uu
2019-10-07T09:10:26.730Z,36.1088333,-117.8443333,1.82,1.02,ml,15,95,0.0122,0.17,ci,ci39116264,2019-10-07T09:13:58.510Z,"12km NE of Coso Junction, CA",earthquake,0.35,0.26,0.274,13,automatic,ci,ci
2019-10-07T09:07:17.090Z,35.7086667,-117.5741667,7.18,1.15,ml,18,121,0.08654,0.18,ci,ci39116256,2019-10-07T09:10:52.988Z,"13km NE of Ridgecrest, CA",earthquake,0.42,0.73,0.104,8,automatic,ci,ci
2019-10-07T09:06:40.740Z,35.7661667,-117.5858333,10.01,1.78,ml,31,62,0.05037,0.17,ci,ci39116248,2019-10-07T09:10:40.487Z,"16km W of Searles Valley, CA",earthquake,0.28,0.62,0.212,26,automatic,ci,ci
2019-10-07T09:03:54.507Z,17.8668,145.7764,182.12,4.9,mb,,96,2.611,1.18,us,us70005rj9,2019-10-07T10:06:19.040Z,"27km S of Pagan, Northern Mariana Islands",earthquake,10.5,7.3,0.028,417,reviewed,us,us
2019-10-07T08:54:00.000Z,36.0746667,-117.8613333,1.56,0.95,ml,14,140,0.04314,0.13,ci,ci39116232,2019-10-07T13:04:26.182Z,"8km ENE of Coso Junction, CA",earthquake,0.25,0.29,0.239,14,reviewed,ci,ci
2019-10-07T08:53:52.460Z,18.58,-67.3291,86,2.44,md,9,240,0.2452,0.25,pr,pr2019280012,2019-10-07T10:02:43.850Z,"25km NW of Aguadilla, Puerto Rico",earthquake,1.81,1.25,0.33,9,reviewed,pr,pr
2019-10-07T08:51:59.300Z,19.2978,-67.3478,50,3,md,12,307,0.8634,0.28,pr,pr2019280011,2019-10-07T09:19:23.590Z,"92km NNW of San Antonio, Puerto Rico",earthquake,2.58,7.47,0.32,12,reviewed,pr,pr
2019-10-07T08:49:07.530Z,37.644001,-118.9514999,4.53,1.63,md,19,57,0.02389,0.01,nc,nc73287935,2019-10-07T10:59:03.017Z,"2km ENE of Mammoth Lakes, CA",earthquake,0.36,0.69,0.12,18,automatic,nc,nc
2019-10-07T08:39:51.080Z,37.6451683,-118.9493332,4.82,0.53,md,9,80,0.02218,0.01,nc,nc73287930,2019-10-07T08:59:02.314Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.71,2.19,0.06,7,automatic,nc,nc
2019-10-07T08:35:05.850Z,35.6573333,-117.4616667,7.84,0.62,ml,12,142,0.06289,0.19,ci,ci39116224,2019-10-07T08:38:36.807Z,"13km SSW of Searles Valley, CA",earthquake,0.53,1.12,0.096,8,automatic,ci,ci
2019-10-07T08:31:51.050Z,38.8198318,-122.7785034,1.83,0.91,md,18,58,0.006781,0.02,nc,nc73287925,2019-10-07T08:48:04.280Z,"5km W of Cobb, CA",earthquake,0.25,0.46,0.15,4,automatic,nc,nc
2019-10-07T08:31:44.860Z,46.8684997558594,-121.756332397461,-0.819999992847443,1.14999998,md,16,90,,0.0700000003,uw,uw61553776,2019-10-07T08:33:38.550Z,"29km NNW of Packwood, Washington",earthquake,0.31,1.01999998,0.379999995,4,automatic,uw,uw
2019-10-07T08:21:39.700Z,35.8693333,-117.7203333,8.44,0.54,ml,10,70,0.07062,0.08,ci,ci39116216,2019-10-07T13:04:59.485Z,"18km ESE of Little Lake, CA",earthquake,0.24,0.54,0.138,5,reviewed,ci,ci
2019-10-07T08:19:35.010Z,35.665,-117.5333333,10.14,0.65,ml,15,128,0.05183,0.18,ci,ci39116208,2019-10-07T13:05:28.011Z,"14km ENE of Ridgecrest, CA",earthquake,0.5,0.89,0.269,8,reviewed,ci,ci
2019-10-07T08:18:27.300Z,35.6781667,-117.5426667,2.02,0.6,ml,14,122,0.06,0.19,ci,ci39116200,2019-10-07T13:05:48.489Z,"14km ENE of Ridgecrest, CA",earthquake,0.36,0.49,0.099,8,reviewed,ci,ci
2019-10-07T08:11:58.485Z,40.0118,-121.0552,11.9,2.9,ml,11,62.7,0.134,0.1576,nn,nn00706566,2019-10-07T18:05:43.598Z,"12km NW of Quincy, California",earthquake,,1.7,0.34,3,reviewed,nn,nn
2019-10-07T08:10:09.660Z,37.6464996,-118.947998,5.01,1.03,md,14,122,0.02057,0.03,nc,nc73287910,2019-10-07T10:19:04.146Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.85,0.83,0.19,13,automatic,nc,nc
2019-10-07T08:09:03.664Z,38.9798,-118.2394,0,0.7,ml,6,163.54,0.343,0.1272,nn,nn00706612,2019-10-07T19:07:53.846Z,"30km WNW of Gabbs, Nevada",earthquake,,0,0,1,reviewed,nn,nn
2019-10-07T08:00:09.270Z,19.484333,-155.6134949,-0.99,1.98,ml,29,98,0.01546,0.28,hv,hv71169411,2019-10-07T08:05:56.320Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.75,0.45,0.11,3,automatic,hv,hv
2019-10-07T07:58:18.620Z,35.7118333,-117.5123333,4.41,0.71,ml,19,76,0.08591,0.16,ci,ci39116192,2019-10-07T13:06:48.750Z,"12km WSW of Searles Valley, CA",earthquake,0.32,0.78,0.164,9,reviewed,ci,ci
2019-10-07T07:53:13.270Z,35.6495,-117.5131667,2.89,0.73,ml,18,75,0.05249,0.16,ci,ci39116184,2019-10-07T13:06:03.916Z,"15km ENE of Ridgecrest, CA",earthquake,0.26,0.33,0.162,7,reviewed,ci,ci
2019-10-07T07:52:04.890Z,35.9903333,-117.4368333,0.96,0.79,ml,11,215,0.07967,0.11,ci,ci39116176,2019-10-07T13:21:39.424Z,"25km N of Searles Valley, CA",earthquake,0.59,0.41,0.083,7,reviewed,ci,ci
2019-10-07T07:51:11.840Z,35.6298333,-117.5928333,10.11,0.9,ml,18,64,0.02084,0.16,ci,ci39116168,2019-10-07T07:54:53.866Z,"8km E of Ridgecrest, CA",earthquake,0.29,0.76,0.113,11,automatic,ci,ci
2019-10-07T07:49:19.010Z,33.7003333,-116.928,17.72,0.57,ml,20,50,0.01367,0.22,ci,ci39116160,2019-10-07T13:22:10.931Z,"6km SSW of Valle Vista, CA",earthquake,0.5,0.72,0.109,15,reviewed,ci,ci
2019-10-07T07:40:34.580Z,35.9121667,-117.7436667,10.02,0.49,ml,10,72,0.07063,0.04,ci,ci39116152,2019-10-07T13:22:27.264Z,"15km E of Little Lake, CA",earthquake,0.16,0.57,0.19,4,reviewed,ci,ci
2019-10-07T07:39:45.990Z,18.8001,-67.5383,102,2.75,md,6,301,0.4198,0.43,pr,pr2019280013,2019-10-07T11:14:05.488Z,"57km NW of Aguadilla, Puerto Rico",earthquake,10.18,5.08,0.31,3,reviewed,pr,pr
2019-10-07T07:35:40.510Z,35.6755,-117.5415,5.79,1.3,ml,22,90,0.05789,0.14,ci,ci39116144,2019-10-07T13:22:43.686Z,"14km ENE of Ridgecrest, CA",earthquake,0.27,0.73,0.177,18,reviewed,ci,ci
2019-10-07T07:28:10.421Z,39.2561,-120.1225,11.2,0.9,ml,11,102.43,0.049,0.1564,nn,nn00706609,2019-10-07T19:01:43.745Z,"6km WNW of Tahoe Vista, California",earthquake,,2.1,1.49,4,reviewed,nn,nn
2019-10-07T07:25:24.970Z,33.3165,-116.3895,8.28,0.41,ml,16,151,0.05345,0.12,ci,ci39116136,2019-10-07T07:29:03.692Z,"7km NNW of Borrego Springs, CA",earthquake,0.32,0.64,0.19,9,automatic,ci,ci
2019-10-07T07:25:07.895Z,41.7648,142.2819,55.56,3.9,mwr,,120,0.699,0.67,us,us70005rj0,2019-10-07T08:46:52.040Z,"63km S of Shizunai, Japan",earthquake,5.6,6.6,0.089,12,reviewed,us,us
2019-10-07T07:23:55.870Z,19.3386669,-155.128006,2.62,2.08,ml,51,123,0.04602,0.28,hv,hv71169346,2019-10-07T07:29:38.510Z,"15km SE of Volcano, Hawaii",earthquake,0.46,0.8,1.92,22,automatic,hv,hv
2019-10-07T07:23:18.390Z,33.321,-116.402,6.96,0.88,ml,34,74,0.05417,0.17,ci,ci39116128,2019-10-07T07:27:01.669Z,"8km NNW of Borrego Springs, CA",earthquake,0.25,0.58,0.174,24,automatic,ci,ci
2019-10-07T07:19:11.780Z,35.7341667,-117.5613333,11.42,0.8,ml,19,112,0.08655,0.23,ci,ci39116120,2019-10-07T07:22:59.400Z,"15km WSW of Searles Valley, CA",earthquake,0.44,1.14,0.272,9,automatic,ci,ci
2019-10-07T07:16:10.250Z,36.0333333,-118.436,4.38,0.83,ml,15,92,0.3111,0.21,ci,ci39116104,2019-10-07T07:19:46.649Z,"31km N of Kernville, CA",earthquake,0.49,3.4,0.128,5,automatic,ci,ci
2019-10-07T07:14:57.450Z,37.6451683,-118.9509964,4.8,1.28,md,19,71,0.02266,0.02,nc,nc73287865,2019-10-07T09:54:02.631Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.43,0.71,0.23,18,automatic,nc,nc
2019-10-07T07:14:21.920Z,37.6445007,-118.9514999,4.66,1.11,md,15,126,0.02343,0.02,nc,nc73287860,2019-10-07T09:29:02.490Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.58,0.96,0.11,15,automatic,nc,nc
2019-10-07T07:11:58.140Z,34.044,-117.2345,12.78,0.93,ml,30,93,0.1274,0.2,ci,ci39116096,2019-10-07T13:23:46.307Z,"2km E of Loma Linda, CA",earthquake,0.34,0.75,0.154,26,reviewed,ci,ci
2019-10-07T07:02:04.470Z,38.8193321,-122.7961655,1.85,1.02,md,19,37,0.01137,0.02,nc,nc73287855,2019-10-07T07:27:04.869Z,"6km NW of The Geysers, CA",earthquake,0.22,0.39,0.11,4,automatic,nc,nc
2019-10-07T07:00:57.153Z,66.3002,-157.2252,0.8,2.4,ml,,,,0.82,ak,ak019cv6nbwx,2019-10-07T07:07:35.248Z,"69km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-10-07T06:56:35.230Z,35.6721667,-117.4635,9.6,1.28,ml,26,69,0.03318,0.18,ci,ci39116088,2019-10-07T13:25:00.800Z,"12km SSW of Searles Valley, CA",earthquake,0.3,0.64,0.216,17,reviewed,ci,ci
2019-10-07T06:52:30.282Z,61.0153,-150.3789,45.5,1.5,ml,,,,0.68,ak,ak019cv6czh0,2019-10-07T06:56:01.401Z,"34km SW of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-07T06:43:04.060Z,19.1345,-67.2083,6,2.78,md,9,294,0.674,0.27,pr,pr2019280010,2019-10-07T07:28:44.998Z,"72km NNW of Isabela, Puerto Rico",earthquake,3.39,3.38,0.27,9,reviewed,pr,pr
2019-10-07T06:41:05.560Z,36.0738333,-117.8645,2.02,1.37,ml,22,84,0.04435,0.13,ci,ci39116080,2019-10-07T06:44:36.421Z,"8km ENE of Coso Junction, CA",earthquake,0.25,0.27,0.235,20,automatic,ci,ci
2019-10-07T06:38:39.950Z,35.8993333,-117.6968333,2.49,0.38,ml,6,101,0.0614,0.07,ci,ci39116072,2019-10-07T06:42:12.179Z,"19km ESE of Little Lake, CA",earthquake,0.26,0.54,0.102,5,automatic,ci,ci
2019-10-07T06:22:37.570Z,33.3766667,-116.8345,10.09,0.68,ml,31,42,0.03292,0.16,ci,ci39116064,2019-10-07T06:26:21.733Z,"4km NE of Palomar Observatory, CA",earthquake,0.22,0.61,0.131,22,automatic,ci,ci
2019-10-07T06:18:07.080Z,35.6683333,-117.4371667,4.09,1.72,ml,31,77,0.01144,0.18,ci,ci39116056,2019-10-07T06:28:43.230Z,"11km SSW of Searles Valley, CA",earthquake,0.26,0.56,0.169,27,automatic,ci,ci
2019-10-07T06:11:57.610Z,19.0893,-67.2321,6,2.74,md,11,286,0.6334,0.25,pr,pr2019280009,2019-10-07T07:28:18.518Z,"67km NNW of San Antonio, Puerto Rico",earthquake,4.04,3.87,0.2,10,reviewed,pr,pr
2019-10-07T06:11:33.884Z,38.9335,16.4466,35,4.6,mb,,55,0.345,1.01,us,us70005rig,2019-10-07T07:12:48.040Z,"3km WNW of Marcellinara, Italy",earthquake,4.9,2,0.145,14,reviewed,us,us
2019-10-07T06:05:31.210Z,35.7928333,-117.613,10.54,0.55,ml,8,99,0.0261,0.19,ci,ci39116032,2019-10-07T13:24:42.108Z,"19km W of Searles Valley, CA",earthquake,0.56,0.92,0.182,8,reviewed,ci,ci
2019-10-07T06:03:38.780Z,19.2683,-67.2491,41,2.58,md,4,325,1.1046,0.25,pr,pr2019280008,2019-10-07T07:27:30.422Z,"87km N of San Antonio, Puerto Rico",earthquake,3.7,18.52,0.27,4,reviewed,pr,pr
2019-10-07T06:03:18.659Z,61.8574,-149.967,21.4,1.4,ml,,,,0.7,ak,ak019cv62ghm,2019-10-07T06:14:12.063Z,"12km NNE of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-10-07T05:50:44.060Z,35.6658333,-117.437,6.18,0.84,ml,18,99,0.01087,0.19,ci,ci39116016,2019-10-07T13:24:56.108Z,"12km SSW of Searles Valley, CA",earthquake,0.43,0.69,0.099,8,reviewed,ci,ci
2019-10-07T05:49:56.341Z,61.5285,-146.5818,25.2,1.6,ml,,,,0.82,ak,ak019cv5qyq8,2019-10-07T05:54:36.508Z,"46km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-10-07T05:48:03.900Z,35.84,-117.6525,6.92,0.43,ml,6,95,0.05082,0.04,ci,ci39116008,2019-10-07T05:51:37.412Z,"24km WNW of Searles Valley, CA",earthquake,0.29,0.81,0.13,3,automatic,ci,ci
2019-10-07T05:47:22.360Z,35.7128333,-117.5733333,3.2,0.88,ml,17,100,0.09066,0.19,ci,ci39116000,2019-10-07T05:51:06.274Z,"14km NE of Ridgecrest, CA",earthquake,0.35,1.62,0.118,10,automatic,ci,ci
2019-10-07T05:44:28.700Z,35.843,-117.66,4.59,0.37,ml,8,120,0.05761,0.08,ci,ci39115992,2019-10-07T13:25:10.111Z,"24km ESE of Little Lake, CA",earthquake,0.27,0.58,0.184,6,reviewed,ci,ci
2019-10-07T05:37:29.310Z,17.9045,-67.0586,7,2.18,md,3,323,0.0665,0.04,pr,pr2019280006,2019-10-07T07:26:08.150Z,"7km S of La Parguera, Puerto Rico",earthquake,0.87,0.32,0.03,3,reviewed,pr,pr
2019-10-07T05:31:09.530Z,35.6425,-117.4711667,4.18,0.46,ml,13,84,0.04478,0.15,ci,ci39115976,2019-10-07T13:25:45.114Z,"15km SSW of Searles Valley, CA",earthquake,0.32,0.6,0.084,7,reviewed,ci,ci
2019-10-07T05:19:16.300Z,35.8056667,-117.6208333,5.64,0.51,ml,13,75,0.02146,0.18,ci,ci39115960,2019-10-07T05:22:44.937Z,"20km WNW of Searles Valley, CA",earthquake,0.37,0.7,0.063,8,automatic,ci,ci
2019-10-07T05:11:01.070Z,35.8033333,-117.6463333,10.84,0.48,ml,9,78,0.04157,0.12,ci,ci39115952,2019-10-07T05:14:46.891Z,"20km N of Ridgecrest, CA",earthquake,0.38,0.71,0.136,6,automatic,ci,ci
2019-10-07T05:09:45.240Z,35.8311667,-117.6646667,6.68,0.57,ml,12,73,0.05671,0.19,ci,ci39115944,2019-10-07T05:13:20.137Z,"23km N of Ridgecrest, CA",earthquake,0.51,1.1,0.171,8,automatic,ci,ci
2019-10-07T05:07:55.200Z,35.6735,-117.4795,3.32,0.8,ml,17,120,0.04621,0.14,ci,ci39115936,2019-10-07T05:11:36.872Z,"12km SSW of Searles Valley, CA",earthquake,0.28,0.84,0.16,9,automatic,ci,ci
2019-10-07T05:04:42.310Z,35.5318333,-117.3726667,7.07,1.43,ml,26,66,0.009551,0.16,ci,ci39115928,2019-10-07T05:08:20.849Z,"26km S of Trona, CA",earthquake,0.28,0.45,0.157,20,automatic,ci,ci
2019-10-07T05:03:45.030Z,35.6233333,-117.4146667,5.12,0.69,ml,16,115,0.0534,0.17,ci,ci39115920,2019-10-07T05:07:15.839Z,"16km SSW of Trona, CA",earthquake,0.34,0.54,0.065,7,automatic,ci,ci
2019-10-07T04:55:23.300Z,36.1255,-117.8921667,2.56,0.73,ml,6,268,0.03122,0.09,ci,ci39115912,2019-10-07T13:27:02.121Z,"10km NNE of Coso Junction, CA",earthquake,0.67,0.21,0.16,6,reviewed,ci,ci
2019-10-07T04:54:45.359Z,40.0995,-121.0937,11.4,1,ml,5,180.35,0.331,0.1541,nn,nn00706608,2019-10-07T18:52:22.860Z,"12km WSW of Greenville, California",earthquake,,3.4,0.02,2,reviewed,nn,nn
2019-10-07T04:54:38.277Z,68.5407,-147.5755,0,1.4,ml,,,,1.62,ak,ak019cv56kac,2019-10-07T05:06:05.515Z,"95km WNW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-07T04:52:56.957Z,58.1903,-155.409,0,1.7,ml,,,,0.66,ak,ak019cv566bk,2019-10-07T04:58:12.893Z,"91km SE of King Salmon, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-07T04:50:46.874Z,-23.1116,-66.6058,198.55,4.8,mb,,51,1.457,0.9,us,us70005ric,2019-10-07T05:10:45.040Z,"94km W of El Aguilar, Argentina",earthquake,9.5,6.2,0.029,356,reviewed,us,us
2019-10-07T04:39:33.797Z,14.5274,-91.8511,74.7,4.2,mb,,150,0.151,1.39,us,us70005ria,2019-10-07T05:46:43.180Z,"10km S of Genova, Guatemala",earthquake,8.3,8.8,0.091,34,reviewed,us,us
2019-10-07T04:37:08.390Z,36.103,-117.9081667,4.36,2.18,ml,27,59,0.04555,0.14,ci,ci39115896,2019-10-07T04:48:13.290Z,"7km NNE of Coso Junction, CA",earthquake,0.22,0.43,0.199,25,automatic,ci,ci
2019-10-07T04:35:21.370Z,38.8199997,-122.8014984,2.39,0.4,md,10,67,0.007508,0.02,nc,nc73287780,2019-10-07T07:14:02.782Z,"6km NW of The Geysers, CA",earthquake,0.43,0.35,0.15,2,automatic,nc,nc
2019-10-07T04:34:16.730Z,38.810833,-122.8236694,2.48,0.57,md,11,97,0.00473,0.02,nc,nc73287775,2019-10-07T06:47:02.923Z,"7km WNW of The Geysers, CA",earthquake,0.34,0.7,0.01,2,automatic,nc,nc
2019-10-07T04:26:44.490Z,35.7131667,-117.5656667,7.85,1.12,ml,28,60,0.09097,0.19,ci,ci39115888,2019-10-07T04:30:33.342Z,"14km NE of Ridgecrest, CA",earthquake,0.32,1.07,0.148,14,automatic,ci,ci
2019-10-07T04:23:53.960Z,35.6798333,-117.5473333,9.53,0.87,ml,20,91,0.06033,0.2,ci,ci39115880,2019-10-07T13:27:57.156Z,"13km ENE of Ridgecrest, CA",earthquake,0.35,0.89,0.056,9,reviewed,ci,ci
2019-10-07T04:19:03.925Z,59.9253,-139.0255,0,3.2,ml,,,,1,ak,ak019cv4yzld,2019-10-07T04:26:15.046Z,"57km NE of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-07T04:18:17.170Z,35.881,-117.6825,2.05,0.74,ml,15,81,0.07167,0.2,ci,ci39115872,2019-10-07T04:22:02.560Z,"21km ESE of Little Lake, CA",earthquake,0.31,0.51,0.135,10,automatic,ci,ci
2019-10-07T04:16:56.030Z,37.6433334,-118.9498367,4.55,1.63,md,15,66,0.02404,0.02,nc,nc73287770,2019-10-07T06:20:04.752Z,"3km ENE of Mammoth Lakes, CA",earthquake,0.45,0.85,0.14,15,automatic,nc,nc
2019-10-07T04:15:23.180Z,35.7593333,-117.5496667,6.87,0.49,ml,8,151,0.06842,0.17,ci,ci39115864,2019-10-07T04:18:56.544Z,"13km W of Searles Valley, CA",earthquake,0.69,1.26,0.129,6,automatic,ci,ci
2019-10-07T04:09:15.550Z,44.5395,-110.5148333,3.85,1.87,ml,18,72,0.08363,0.15,uu,uu60344562,2019-10-07T13:33:53.050Z,"26km ENE of Old Faithful Geyser, Wyoming",earthquake,0.3,1.14,0.316,4,reviewed,uu,uu
2019-10-07T04:06:31.529Z,58.1809,-154.0742,66.3,2,ml,,,,1.02,ak,ak019cv4w9et,2019-10-07T04:10:40.595Z,"71km N of Larsen Bay, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-10-07T04:03:08.590Z,35.7746667,-117.5916667,8.7,1.54,ml,29,110,0.04126,0.18,ci,ci39115848,2019-10-07T13:28:09.158Z,"17km W of Searles Valley, CA",earthquake,0.28,0.68,0.213,19,reviewed,ci,ci
2019-10-07T03:46:47.962Z,-19.9941,169.4605,113.52,4.7,mb,,111,3.212,1.09,us,us70005rhy,2019-10-07T04:48:53.040Z,"53km SSE of Isangel, Vanuatu",earthquake,9.9,5.9,0.075,54,reviewed,us,us
2019-10-07T03:45:38.594Z,38.5616,-119.5482,7.7,0.8,ml,7,169.02,0.104,0.1513,nn,nn00706607,2019-10-07T18:49:17.658Z,"30km SW of Smith Valley, Nevada",earthquake,,3.7,0.19,2,reviewed,nn,nn
2019-10-07T03:43:47.927Z,61.9408,-147.9973,26.7,1.3,ml,,,,0.55,ak,ak019cv4isko,2019-10-07T03:46:24.935Z,"47km ENE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-07T03:37:36.628Z,38.3585,-116.6217,14.2,1.6,ml,5,132.81,0.551,0.1576,nn,nn00706555,2019-10-07T17:32:21.602Z,"28km NW of Warm Springs, Nevada",earthquake,,4.5,0,1,reviewed,nn,nn
