time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-10-07T17:30:01.370Z,35.6155,-117.4721667,3.12,0.8,ml,17,61,0.03006,0.2,ci,ci39117152,2019-10-07T17:33:44.233Z,"18km SSW of Searles Valley, CA",earthquake,0.34,0.43,0.228,7,automatic,ci,ci
2019-10-07T17:21:46.580Z,33.553,-116.4018333,8.63,0.74,ml,33,76,0.03562,0.14,ci,ci39117136,2019-10-07T17:25:35.889Z,"15km SW of La Quinta, CA",earthquake,0.22,0.42,0.175,17,automatic,ci,ci
2019-10-07T17:12:24.870Z,32.9183333,-115.5026667,8.96,2.2,ml,27,59,0.05164,0.23,ci,ci39117096,2019-10-07T17:23:10.280Z,"7km SSE of Brawley, CA",earthquake,0.41,0.88,0.229,27,automatic,ci,ci
2019-10-07T17:10:50.497Z,61.9706,-152.01,124.2,1.7,ml,,,,0.45,ak,ak019cvcnslx,2019-10-07T17:31:57.218Z,"106km WNW of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-10-07T17:10:42.830Z,32.9203333,-115.5058333,6.14,1.54,ml,17,59,0.04985,0.13,ci,ci39117088,2019-10-07T17:14:30.117Z,"7km SSE of Brawley, CA",earthquake,0.34,0.84,0.283,24,automatic,ci,ci
2019-10-07T17:01:47.485Z,62.3864,-151.4104,78.9,1.4,ml,,,,0.4,ak,ak019cvcluxn,2019-10-07T17:11:42.387Z,"67km W of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-10-07T16:49:40.610Z,35.7981667,-117.6293333,3.79,0.65,ml,11,77,0.03125,0.12,ci,ci39117048,2019-10-07T16:53:17.466Z,"20km NNE of Ridgecrest, CA",earthquake,0.28,0.54,0.166,7,automatic,ci,ci
2019-10-07T16:44:59.920Z,36.0986667,-117.9105,3.96,1.51,ml,20,60,0.04885,0.18,ci,ci39117040,2019-10-07T16:56:31.370Z,"7km NNE of Coso Junction, CA",earthquake,0.33,0.6,0.174,20,reviewed,ci,ci
2019-10-07T16:43:37.800Z,35.6295,-117.4436667,2.69,1,ml,17,83,0.03909,0.14,ci,ci39117024,2019-10-07T16:47:25.904Z,"16km SSW of Searles Valley, CA",earthquake,0.24,0.27,0.158,12,automatic,ci,ci
2019-10-07T16:34:34.990Z,19.4136658,-155.2749939,0.53,1.76,md,24,41,0.009467,0.16,hv,hv71170081,2019-10-07T16:40:17.450Z,"4km WSW of Volcano, Hawaii",earthquake,0.15,0.17,0.25,18,automatic,hv,hv
2019-10-07T16:31:57.230Z,38.8074989,-122.8174973,2.73,0.75,md,15,90,0.009228,0.04,nc,nc73288160,2019-10-07T17:35:21.213Z,"6km WNW of The Geysers, CA",earthquake,0.29,0.55,0.13,4,automatic,nc,nc
2019-10-07T16:26:14.068Z,61.5389,-147.2373,20.5,1.5,ml,,,,0.98,ak,ak019cvc5pnj,2019-10-07T16:29:42.651Z,"65km NW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-10-07T16:12:34.550Z,38.7965012,-122.7403336,1.42,1.19,md,16,60,0.01914,0.04,nc,nc73288145,2019-10-07T18:37:02.530Z,"2km NNE of The Geysers, CA",earthquake,0.23,0.45,0.1,6,automatic,nc,nc
2019-10-07T16:07:55.720Z,38.9445,-123.003334,5.78,2.04,md,29,78,0.07271,0.07,nc,nc73288140,2019-10-07T18:09:04.330Z,"13km SW of Lakeport, CA",earthquake,0.3,0.73,0.19,17,automatic,nc,nc
2019-10-07T16:06:04.010Z,33.4841667,-116.5135,14.02,0.54,ml,24,56,0.07459,0.21,ci,ci39116912,2019-10-07T16:56:16.394Z,"17km ESE of Anza, CA",earthquake,0.37,0.64,0.17,17,reviewed,ci,ci
